Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_5_6_2_6_6,,,0,0,3,0
7_2_6_8_6_7,,,0,1,3,1
7_8_6_7_6_5,,,0,0,3,0
7_6_6_4_6_2,,,0,2,3,1
7_9_6_0_6_6,,,0,0,3,0
7_7_6_3_6_8,,,0,0,4,0
7_3_6_7_6_3,,,0,0,3,0
7_4_6_0_6_8,,,1,1,4,1
7_0_6_7_6_6,,,0,0,3,0
7_1_6_3_6_6,,,0,0,3,0
10_2_9_4_9_7,,,0,0,4,0
10_4_9_8_9_5,,,0,0,4,0
10_5_9_0_9_4,,,0,2,3,1
10_7_9_7_9_2,,,0,0,4,0
10_9_9_9_9_8,,,0,0,3,0
10_0_9_2_9_4,,,0,2,3,1
10_6_9_5_9_1,,,0,0,3,0
10_1_9_5_9_2,,,0,0,3,0
10_8_9_4_9_0,,,0,0,4,0
10_3_9_2_9_7,,,0,0,4,0
9_9_8_8_8_0,,,0,0,3,0
9_7_8_9_8_2,,,0,0,4,0
9_0_8_4_8_7,,,0,0,4,0
9_6_8_1_8_5,,,0,0,4,0
9_4_8_4_8_9,,,0,2,3,1
9_5_8_0_8_5,,,0,0,3,0
9_3_8_7_8_1,,,0,0,4,0
9_2_8_1_8_4,,,0,0,4,0
9_1_8_5_8_7,,,0,0,4,0
9_8_8_4_8_7,,,0,0,4,0
11_3_10_7_10_3,,,0,0,4,0
11_8_10_6_10_2,,,0,0,3,0
11_0_10_9_10_8,,,0,0,3,0
11_2_10_9_10_3,,,0,0,3,0
11_5_10_9_10_1,,,0,0,3,0
11_7_10_9_10_8,,,0,0,3,0
11_6_10_7_10_4,,,0,0,4,0
11_9_10_1_10_3,,,0,0,3,0
11_1_10_6_10_8,,,0,0,3,0
11_4_10_6_10_8,,,0,0,3,0
6_2_5_5_5_8,,,0,2,3,1
6_0_5_2_5_5,,,1,1,4,1
6_9_5_2_5_4,,,1,1,4,1
6_3_5_8_5_4,,,0,0,4,0
6_5_5_0_5_2,,,0,0,2,0
6_7_5_6_5_1,,,0,0,2,0
6_8_5_9_5_8,,,0,1,3,1
6_6_5_5_5_0,,,0,0,3,0
6_1_5_6_5_2,,,1,1,3,1
6_4_5_5_5_6,,,0,0,5,0
8_6_7_9_7_3,,,0,0,4,0
8_3_7_4_7_5,,,0,0,3,0
8_4_7_1_7_8,,,0,0,4,0
8_2_7_0_7_1,,,0,0,3,0
8_7_7_1_7_4,,,0,0,4,0
8_5_7_9_7_0,,,0,0,4,0
8_9_7_5_7_6,,,0,2,3,1
8_0_7_0_7_1,,,0,0,3,0
8_8_7_8_7_0,,,0,0,3,0
8_1_7_5_7_8,,,0,0,4,0
5_2_4_7_4_1,,,1,1,3,1
5_3_4_1_4_8,,,2,1,4,1
5_7_4_3_4_7,,,0,1,4,1
5_6_4_8_4_2,,,0,0,2,0
5_0_4_1_4_6,,,0,0,3,0
5_5_4_7_4_2,,,0,0,5,0
5_9_4_0_4_6,,,0,3,3,2
5_1_4_6_4_3,,,0,0,2,0
5_4_4_3_4_6,,,0,2,3,1
5_8_4_1_4_5,,,0,2,3,1
4_4_3_9_3_2,,,0,3,3,3
4_6_3_1_3_3,,,0,0,2,0
4_5_3_0_3_7,,,0,2,2,1
4_1_3_9_3_7,,,2,1,3,1
4_2_3_0_3_4,,,0,0,2,0
4_9_3_7_3_9,,,1,1,2,1
4_3_3_4_3_1,,,0,0,3,0
4_0_3_9_3_0,,,0,1,3,1
4_8_3_0_3_4,,,0,0,2,0
4_7_3_8_3_2,,,0,1,5,1
2_5_1_4_1_8,,,4,3,2,2
2_2_1_8_1_9,,,0,0,2,0
2_0_1_2_1_9,,,1,1,2,1
2_6_1_6_1_2,,,0,2,1,1
2_3_1_9_1_2,,,0,1,1,1
2_4_1_1_1_6,,,2,6,1,3
2_8_1_7_1_4,,,0,0,3,0
2_9_1_8_1_5,,,1,3,3,2
2_1_1_1_1_2,,,1,4,1,2
2_7_1_1_1_9,,,1,2,2,1
3_0_2_6_2_1,,,0,2,2,1
3_9_2_0_2_3,,,1,1,2,1
3_2_2_0_2_9,,,0,2,3,2
3_5_2_2_2_5,,,1,1,3,1
3_8_2_8_2_2,,,0,0,5,0
3_4_2_0_2_9,,,0,2,3,2
3_3_2_6_2_1,,,0,2,2,1
3_1_2_6_2_1,,,0,2,2,1
3_6_2_6_2_1,,,0,2,2,1
3_7_2_5_2_9,,,4,3,2,2
1_6_ _ _ _ ,,,1,4,2,2
1_1_ _ _ _ ,,,1,3,2,2
1_9_ _ _ _ ,,,0,5,2,3
1_5_ _ _ _ ,,,1,3,2,2
1_0_ _ _ _ ,,,1,5,2,3
1_4_ _ _ _ ,,,1,2,2,2
1_2_ _ _ _ ,,,1,4,2,2
1_7_ _ _ _ ,,,0,3,2,2
1_3_ _ _ _ ,,,3,4,2,3
1_8_ _ _ _ ,,,0,2,2,1
